params_x,params_y,params_z,user_attrs_top-1
117.9,157.9,0.21,0.7578125
114.0,150.0,0.32,0.7578125
114.0,150.0,0.32,0.7578125
127.0,151.0,0.17,0.7578125
127.0,151.0,0.17,0.7578125
121.5,153.0,0.03,-1.0
121.5,153.0,0.03,-1.0
123.4,150.0,0.13,0.7578125
123.4,150.0,0.13,0.7578125
124.8,153.0,0.12,-1.0
124.8,153.0,0.12,-1.0
124.8,151.1,0.08,0.7578125
124.8,151.1,0.08,0.7578125
124.8,148.0,0.17,0.7578125
124.8,148.0,0.17,0.7578125
122.9,154.9,0.27,-1.0
122.9,154.9,0.27,0.7578125
126.7,152.6,0.04,0.7578125
126.7,152.6,0.04,0.7578125
118.6,151.3,0.45,0.7578125
118.6,151.3,0.45,0.7578125
113.3,159.4,0.24,0.7578125
113.3,159.4,0.24,0.7578125
115.6,153.4,0.34,0.7578125
115.6,153.4,0.34,0.7578125
113.6,155.3,0.34,0.7578125
113.6,155.3,0.34,0.7578125
113.1,155.1,0.42,0.7578125
113.1,155.1,0.42,0.7578125
115.7,156.9,0.4,0.7578125
115.7,156.9,0.4,0.7578125
113.0,156.9,0.37,0.7578125
113.0,156.9,0.37,0.7578125
119.2,159.4,0.47000000000000003,0.7578125
119.2,159.4,0.47000000000000003,0.7578125
119.2,151.2,0.5,0.7578125
119.2,151.2,0.5,0.7578125
113.2,158.6,0.45,0.7578125
113.2,158.6,0.45,0.7578125
120.2,156.6,0.37,-1.0
120.2,156.6,0.37,-1.0
126.1,150.2,0.01,0.7578125
126.1,150.2,0.01,0.7578125
116.1,159.2,0.19,0.7578125
116.1,159.2,0.19,0.7578125
120.7,158.9,0.19,0.7578125
120.7,158.9,0.19,0.7578125
121.3,150.5,0.49,0.7578125
121.3,150.5,0.49,0.7578125
113.3,148.8,0.44,0.7578125
113.3,148.8,0.44,0.7578125
116.8,153.6,0.05,0.7578125
116.8,153.6,0.05,0.7578125
118.7,156.5,0.12,-1.0
118.7,156.5,0.12,-1.0
117.6,157.7,0.06,0.7578125
117.6,157.7,0.06,0.7578125
115.3,154.0,0.12,0.7578125
115.3,154.0,0.12,0.7578125
126.9,149.3,0.42,0.7578125
126.9,149.3,0.42,0.7578125
115.1,156.2,0.08,0.7578125
115.1,156.2,0.08,0.7578125
124.5,156.4,0.39,0.7578125
124.5,156.4,0.39,0.7578125
116.5,157.5,0.33,0.7578125
116.5,157.5,0.33,0.7578125
114.7,159.1,0.28,0.7578125
114.7,159.1,0.28,0.7578125
117.2,155.3,0.04,0.7578125
117.2,155.3,0.04,0.7578125
