params_x,params_y,params_z,params_voltage,user_attrs_top-1
121.0,154.0,0.1,350,0.7578125
123.5,151.5,0.0,300,0.7578125
123.5,151.5,0.0,300,0.7578125
118.5,157.5,0.0,350,0.7578125
118.5,157.5,0.0,350,0.7578125
120.5,155.0,0.4,300,0.7578125
120.5,155.0,0.4,300,0.7578125
120.5,154.0,0.8,350,0.7578125
120.5,154.0,0.8,350,0.7578125
118.5,154.5,0.05,150,0.7578125
118.5,154.5,0.05,150,0.7578125
124.0,148.0,0.35000000000000003,150,0.7578125
124.0,148.0,0.35000000000000003,150,0.7578125
123.5,151.5,0.6000000000000001,300,0.7578125
123.5,151.5,0.6000000000000001,300,0.7578125
116.0,156.0,0.9500000000000001,250,0.7578125
116.0,156.0,0.9500000000000001,250,0.7578125
113.0,157.5,0.2,350,0.7578125
113.0,157.5,0.2,350,0.7578125
120.5,152.5,0.15000000000000002,350,-1.0
120.5,152.5,0.15000000000000002,350,0.7578125
124.0,156.5,0.05,300,0.75
124.0,156.5,0.05,300,0.7578125
124.0,156.5,0.05,300,0.7578125
125.5,156.0,0.2,300,0.75
125.5,156.0,0.2,300,-1.0
125.5,156.0,0.2,300,-1.0
123.0,157.0,0.0,350,0.7578125
123.0,157.0,0.0,350,0.7578125
123.0,156.5,0.0,300,0.7578125
123.0,156.5,0.0,300,0.7421875
123.0,156.5,0.0,300,0.7578125
123.5,156.5,0.1,300,0.7578125
123.5,156.5,0.1,300,0.7578125
124.0,157.0,0.05,300,0.7578125
124.0,157.0,0.05,300,0.7578125
124.0,155.5,0.30000000000000004,300,0.75
124.0,155.5,0.30000000000000004,300,-1.0
124.0,155.5,0.30000000000000004,300,0.7578125
125.5,156.5,0.0,300,0.7578125
125.5,156.5,0.0,300,-1.0
127.0,157.0,0.35000000000000003,350,0.7578125
127.0,157.0,0.35000000000000003,350,0.7578125
126.5,157.0,0.25,250,0.7578125
126.5,157.0,0.25,250,0.7578125
124.0,155.5,0.30000000000000004,300,-1.0
124.0,155.5,0.30000000000000004,300,-1.0
125.5,154.0,0.1,300,0.7578125
125.5,154.0,0.1,300,0.7578125
125.0,155.5,0.15000000000000002,300,0.7578125
125.0,155.5,0.15000000000000002,300,0.75
