params_x,params_y,params_z,params_voltage,user_attrs_top-1
122.80000000000001,154.2,0.3,300,0.7578125
123.4,155.1,0.36,350,-1.0
123.4,155.1,0.36,350,0.75
123.4,155.1,0.36,350,0.7578125
123.2,156.29999999999998,0.48,200,0.7578125
123.2,156.29999999999998,0.48,200,0.7578125
125.4,155.9,0.13,350,-1.0
125.4,155.9,0.13,350,0.7578125
125.30000000000001,154.4,0.15,150,0.7578125
125.30000000000001,154.4,0.15,150,0.7578125
124.80000000000001,156.6,0.59,150,0.7578125
124.80000000000001,156.6,0.59,150,0.7578125
122.5,153.9,0.01,350,-1.0
122.5,153.9,0.01,350,0.7578125
124.0,155.1,0.18,250,0.7578125
124.0,155.1,0.18,250,0.7578125
124.60000000000001,153.6,0.19,150,0.75
124.60000000000001,153.6,0.19,150,0.7578125
124.60000000000001,153.6,0.19,150,0.7578125
124.9,154.9,0.34,150,0.7578125
124.9,154.9,0.34,150,0.7578125
124.9,155.4,0.03,150,0.7578125
124.9,155.4,0.03,150,0.75
124.9,155.4,0.03,150,0.7578125
124.80000000000001,154.5,0.53,250,0.7578125
124.80000000000001,154.5,0.53,250,0.7578125
124.2,153.6,0.03,150,0.7578125
124.2,153.6,0.03,150,0.7578125
124.5,154.1,0.32,150,0.75
124.5,154.1,0.32,150,0.75
124.5,154.1,0.32,150,0.7578125
124.5,154.1,0.32,150,0.75
124.5,154.1,0.32,150,0.7578125
124.4,153.9,0.23,150,0.7578125
124.4,153.9,0.23,150,0.7578125
124.2,153.9,0.49,300,0.7578125
124.2,153.9,0.49,300,0.7578125
123.7,156.9,0.16,300,0.7578125
123.7,156.9,0.16,300,0.7578125
124.30000000000001,153.7,0.65,350,0.7578125
124.30000000000001,153.7,0.65,350,0.7578125
124.10000000000001,154.6,0.46,150,0.7578125
124.10000000000001,154.6,0.46,150,0.7578125
124.4,156.2,0.25,350,-1.0
124.4,156.2,0.25,350,0.7578125
124.0,154.5,0.34,150,0.7578125
124.0,154.5,0.34,150,0.75
124.0,154.5,0.34,150,0.7578125
124.80000000000001,154.6,0.25,150,0.75
124.80000000000001,154.6,0.25,150,0.75
124.80000000000001,154.6,0.25,150,0.7578125
124.80000000000001,154.6,0.25,150,0.7578125
124.10000000000001,154.79999999999998,0.01,250,-1.0
124.10000000000001,154.79999999999998,0.01,250,0.7578125
124.7,155.1,0.2,150,0.7578125
124.7,155.1,0.2,150,0.7578125
123.9,155.1,0.01,150,0.7578125
123.9,155.1,0.01,150,0.7578125
124.4,154.29999999999998,0.31,150,0.7578125
124.4,154.29999999999998,0.31,150,0.7578125
124.0,153.2,0.35000000000000003,200,0.7578125
124.0,153.2,0.35000000000000003,200,0.7578125
124.5,153.79999999999998,0.1,200,0.7578125
124.5,153.79999999999998,0.1,200,0.75
124.5,153.79999999999998,0.1,200,0.7578125
124.60000000000001,154.5,0.2,150,0.7578125
124.60000000000001,154.5,0.2,150,0.7578125
125.30000000000001,154.4,0.33,150,0.75
125.30000000000001,154.4,0.33,150,0.7578125
125.30000000000001,154.4,0.33,150,0.7578125
122.2,153.79999999999998,0.09,200,0.7578125
122.2,153.79999999999998,0.09,200,0.7578125
122.9,155.29999999999998,0.22,250,0.140625
122.9,155.29999999999998,0.22,250,0.7578125
122.9,155.29999999999998,0.22,250,0.7578125
122.9,155.29999999999998,0.22,250,0.7578125
122.9,155.29999999999998,0.22,250,0.7578125
123.0,155.6,0.4,300,0.7578125
123.0,155.6,0.4,300,0.7578125
123.0,154.9,0.3,250,0.75
123.0,154.9,0.3,250,0.7578125
123.0,154.9,0.3,250,0.7578125
123.2,155.6,0.27,200,0.7578125
123.2,155.6,0.27,200,0.7578125
122.80000000000001,155.5,0.24,250,0.7578125
122.80000000000001,155.5,0.24,250,0.7578125
124.7,153.7,0.65,200,0.75
124.7,153.7,0.65,200,0.7578125
124.7,153.7,0.65,200,0.7578125
124.5,154.1,0.16,150,0.7578125
124.5,154.1,0.16,150,0.75
124.5,154.1,0.16,150,0.7578125
124.5,154.0,0.34,150,0.7578125
124.5,154.0,0.34,150,0.75
124.5,154.0,0.34,150,0.7578125
124.9,153.9,0.38,200,0.75
124.9,153.9,0.38,200,0.7578125
124.9,153.9,0.38,200,0.7578125
125.0,154.9,0.13,200,0.7578125
125.0,154.9,0.13,200,0.7578125
124.30000000000001,154.2,0.01,150,0.7578125
124.30000000000001,154.2,0.01,150,0.7578125
122.30000000000001,155.9,0.17,250,0.7578125
122.30000000000001,155.9,0.17,250,0.7578125
124.7,154.7,0.31,150,0.75
124.7,154.7,0.31,150,0.7578125
124.7,154.7,0.31,150,0.7578125
124.0,154.1,0.25,150,0.75
124.0,154.1,0.25,150,0.7578125
124.0,154.1,0.25,150,0.7578125
125.0,153.5,0.33,150,0.7578125
125.0,153.5,0.33,150,0.7578125
123.30000000000001,155.2,0.25,300,0.7578125
123.30000000000001,155.2,0.25,300,0.125
123.30000000000001,155.2,0.25,300,0.7578125
123.30000000000001,155.2,0.25,300,0.75
123.30000000000001,155.2,0.25,300,0.7578125
123.30000000000001,155.2,0.25,300,-1.0
