params_x,params_y,user_attrs_top-1
127.0,158.5,0.7578125
127.0,158.5,0.7578125
117.5,158.5,0.7578125
117.5,158.5,0.7578125
123.0,148.0,0.7578125
123.0,148.0,0.7578125
116.5,155.0,0.7578125
116.5,155.0,0.7578125
119.5,149.5,0.7578125
119.5,149.5,0.7578125
116.0,160.0,0.7578125
116.0,160.0,0.7578125
116.5,153.5,0.7578125
116.5,153.5,-1.0
119.0,158.5,0.7578125
119.0,158.5,0.7578125
126.0,158.0,0.7578125
126.0,158.0,0.7578125
114.0,155.0,0.7578125
114.0,155.0,0.7578125
116.0,152.5,0.7578125
116.0,152.5,0.7578125
125.0,149.0,0.7578125
125.0,149.0,0.7578125
118.0,154.5,-1.0
118.0,154.5,0.7578125
