original_classes,44,175,304,324,372,434,442,492,501,502,794,852,876,945
350,0,0,0,0,0,0,0,0,0,0,0,1,0,0
352,0,0,0,0,0,0,0,0,0,0,0,1,0,0
353,0,0,0,0,0,0,0,0,0,0,0,1,0,0
355,0,0,0,0,0,0,0,0,0,0,0,1,0,0
357,0,0,0,0,0,0,0,0,0,0,0,2,0,0
363,0,0,0,0,0,0,0,0,0,0,0,1,0,0
368,0,0,0,0,0,0,0,0,0,0,0,1,0,0
371,0,0,0,0,0,1,0,0,0,0,0,0,0,0
372,0,0,0,0,1,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,1,0,0
375,0,0,0,0,0,0,0,0,0,0,0,2,0,0
376,0,0,0,0,0,0,0,0,0,0,0,2,0,0
378,0,0,0,0,0,0,0,0,0,0,0,2,0,0
379,0,0,0,0,0,1,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,1,0,0
384,0,0,0,0,0,0,0,0,0,0,0,2,0,0
386,0,0,0,0,0,0,0,0,0,0,0,1,0,0
387,0,0,0,0,0,0,0,0,0,0,0,2,0,0
388,0,0,0,0,0,0,0,0,0,0,0,1,0,0
389,0,0,0,0,0,0,0,0,0,0,0,2,0,0
391,0,0,0,0,0,0,0,0,0,0,0,1,0,0
395,0,0,0,0,0,0,0,0,0,0,0,1,0,0
397,0,0,0,0,0,0,0,0,0,0,0,1,0,0
400,0,0,0,0,0,0,0,0,0,0,0,2,0,0
406,0,0,0,0,0,0,0,0,0,0,0,1,0,0
411,0,0,0,0,0,0,0,0,0,0,0,1,0,0
415,0,0,0,0,0,1,0,0,0,0,0,1,0,0
416,0,0,0,0,0,1,0,0,0,0,0,1,0,0
417,0,0,0,0,0,0,0,0,0,0,0,1,0,0
421,0,0,0,0,0,1,0,0,0,0,0,1,0,0
427,0,0,0,0,0,0,0,0,0,0,0,2,0,0
430,0,0,0,0,0,1,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,1,0,0
437,0,0,0,0,0,0,0,0,0,0,0,1,0,0
439,0,0,0,0,0,0,0,0,0,0,0,1,0,0
440,0,0,0,0,0,0,0,0,0,0,0,1,0,0
442,0,0,0,0,0,0,1,0,0,0,0,0,0,0
444,0,0,0,0,0,1,0,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0,0,0,0,1,0,0
450,0,0,0,0,0,0,0,0,0,0,0,2,0,0
451,0,0,0,0,0,0,0,0,0,0,0,1,0,0
452,0,0,0,0,0,1,0,0,0,0,0,0,0,0
454,0,0,0,0,0,1,0,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0,0,0,0,0,2,0,0
456,0,0,0,0,0,0,0,0,0,0,0,1,0,0
457,0,0,0,0,0,1,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0,0,1,0,0
464,0,0,0,0,0,0,0,0,0,0,0,1,0,0
465,0,0,0,0,0,1,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0,0,1,0,0
468,0,0,0,0,0,0,0,0,0,0,0,2,0,0
469,0,0,0,0,0,0,0,0,0,0,0,1,0,0
470,0,0,0,0,0,0,0,0,0,0,0,1,0,0
472,0,0,0,0,0,1,0,0,0,0,0,1,0,0
473,0,0,0,0,0,0,0,0,0,0,0,1,0,0
474,0,0,0,0,0,1,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0,0,1,0,0
482,0,0,0,0,0,1,0,0,0,0,0,0,0,0
486,0,0,0,0,0,1,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0,0,0,0,1,0,0
492,0,0,0,0,0,0,0,1,0,0,0,0,0,0
496,0,0,0,0,0,1,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,2,0,0
500,0,0,0,0,0,0,0,0,0,0,0,1,0,0
501,0,0,0,0,0,0,0,0,1,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,1,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0,2,0,0
512,0,0,0,0,0,1,0,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0,0,0,0,0,1,0,0
525,0,0,0,0,0,0,0,0,0,0,0,2,0,0
526,0,0,0,0,0,0,0,0,0,0,0,1,0,0
528,0,0,0,0,0,0,0,0,0,0,0,1,0,0
529,0,0,0,0,0,0,0,0,0,0,0,1,0,0
530,0,0,0,0,0,0,0,0,0,0,0,1,0,0
531,0,0,0,0,0,0,0,0,0,0,0,2,0,0
534,0,0,0,0,0,0,0,0,0,0,0,1,0,0
539,0,0,0,0,0,0,0,0,0,0,0,1,0,0
540,0,0,0,0,0,1,0,0,0,0,0,1,0,0
551,0,0,0,0,0,0,0,0,0,0,0,1,0,0
552,0,0,0,0,0,0,0,0,0,0,0,1,0,0
554,0,0,0,0,0,0,0,0,0,0,0,1,0,0
557,0,0,0,0,0,0,0,0,0,0,0,1,0,0
561,0,0,0,0,0,2,0,0,0,0,0,0,0,0
562,0,0,0,0,0,1,0,0,0,0,0,3,0,0
563,0,0,0,0,0,0,0,0,0,0,0,1,0,0
564,0,0,0,0,0,1,0,0,0,0,0,1,0,0
566,0,0,0,0,0,0,0,0,0,0,0,1,0,0
568,0,0,0,0,0,1,0,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0,0,0,0,0,1,0,0
573,0,0,0,0,0,1,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0,0,0,0,0,1,0,0
576,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577,0,0,0,0,0,1,0,0,0,0,0,0,0,0
578,0,0,0,0,0,1,0,0,0,0,0,1,0,0
579,0,0,0,0,0,1,0,0,0,0,0,0,0,0
582,0,0,0,0,0,1,0,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0,0,1,0,0
584,0,0,0,0,0,2,0,0,0,0,0,0,0,0
585,0,0,0,0,0,1,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,0,0,1,0,0
588,0,0,0,0,0,0,0,0,0,0,0,1,0,0
589,0,0,0,0,0,0,0,0,0,0,0,1,0,0
590,0,0,0,0,0,1,0,0,0,0,0,0,0,0
595,0,0,0,0,0,1,0,0,0,0,0,1,0,0
596,0,0,0,0,0,1,0,0,0,0,0,0,0,0
599,0,0,0,0,0,1,0,0,0,0,0,0,0,0
612,0,0,0,0,0,1,0,0,0,0,0,0,0,0
621,0,0,0,0,0,1,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0,0,1,0,0
625,0,0,0,0,0,0,0,0,0,0,0,1,0,0
629,0,0,0,0,0,1,0,0,0,0,0,0,0,0
631,0,0,0,0,0,1,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0,0,1,0,0
639,0,0,0,0,0,0,0,0,0,0,0,1,0,0
646,0,0,0,0,0,1,0,0,0,0,0,1,0,0
650,0,0,0,0,0,0,0,0,0,0,0,1,0,0
653,0,0,0,0,0,1,0,0,0,0,0,0,0,0
657,0,0,0,0,0,0,0,0,0,0,0,1,0,0
661,0,0,0,0,0,0,0,0,0,0,0,1,0,0
662,0,0,0,0,0,0,0,0,0,0,0,1,0,0
665,0,0,0,0,0,1,0,0,0,0,0,0,0,0
667,0,0,0,0,0,0,0,0,0,0,0,1,0,0
669,0,0,0,0,0,0,0,0,0,0,0,1,0,0
670,0,0,0,0,0,1,0,0,0,0,0,1,0,0
673,0,0,0,0,0,1,0,0,0,0,0,1,0,0
674,0,0,0,0,0,1,0,0,0,0,0,0,0,0
675,0,0,0,0,0,1,0,0,0,0,0,0,0,0
676,0,0,0,0,0,0,0,0,0,0,0,1,0,0
680,0,0,0,0,0,0,0,0,0,0,0,1,0,0
681,0,0,0,0,0,0,0,0,0,0,0,2,0,0
684,0,0,0,0,0,0,0,0,0,0,0,1,0,0
685,0,0,0,0,0,0,0,0,0,0,0,1,0,0
686,0,0,0,0,0,0,0,0,0,0,0,1,0,0
691,0,0,0,0,0,0,0,0,0,0,0,1,0,0
694,0,0,0,0,0,0,0,0,0,0,0,1,0,0
695,0,0,0,0,0,0,0,0,0,0,0,1,0,0
697,0,0,0,0,0,1,0,0,0,0,0,0,0,0
698,0,0,0,0,0,0,0,0,0,0,0,1,0,0
701,0,0,0,0,0,0,0,0,0,0,0,1,0,0
705,0,0,0,0,0,0,0,0,0,0,0,1,0,0
710,0,0,0,0,0,2,0,0,0,0,0,2,0,0
713,0,0,0,0,0,0,0,0,0,0,0,2,0,0
716,0,0,0,0,0,2,0,0,0,0,0,1,0,0
719,0,0,0,0,0,1,0,0,0,0,0,0,0,0
722,0,0,0,0,0,1,0,0,0,0,0,0,0,0
723,0,0,0,0,0,1,0,0,0,0,0,1,0,0
727,0,0,0,0,0,0,0,0,0,0,0,2,0,0
731,0,0,0,0,0,0,0,0,0,0,0,2,0,0
733,0,0,0,0,0,1,0,0,0,0,0,0,0,0
735,0,0,0,0,0,0,0,0,0,0,0,1,0,0
736,0,0,0,0,0,1,0,0,0,0,0,1,0,0
737,0,0,0,0,0,0,0,0,0,0,0,1,0,0
739,0,0,0,0,0,0,0,0,0,0,0,1,0,0
740,0,0,0,0,0,0,0,0,0,0,0,1,0,0
743,0,0,0,0,0,1,0,0,0,0,0,0,0,0
744,0,0,0,0,0,0,0,0,0,0,0,1,0,0
745,0,0,0,0,0,0,0,0,0,0,0,1,0,0
746,0,0,0,0,0,0,0,0,0,0,0,2,0,0
747,0,0,0,0,0,0,0,0,0,0,0,1,0,0
748,0,0,0,0,0,0,0,0,0,0,0,1,0,0
750,0,0,0,0,0,0,0,0,0,0,0,1,0,0
751,0,0,0,0,0,1,0,0,0,0,0,0,0,0
752,0,0,0,0,0,0,0,0,0,0,0,1,0,0
753,0,0,0,0,0,1,0,0,0,0,0,0,0,0
754,0,0,0,0,0,1,0,0,0,0,0,0,0,0
761,0,0,0,0,0,0,0,0,0,0,0,1,0,0
763,0,0,0,0,0,0,0,0,0,0,0,2,0,0
769,0,0,0,0,0,0,0,0,0,0,0,2,0,0
775,0,0,0,0,0,0,0,0,0,0,0,1,0,0
776,0,0,0,0,0,1,0,0,0,0,0,0,0,0
779,0,0,0,0,0,0,0,0,0,0,0,1,0,0
785,0,0,0,0,0,1,0,0,0,0,0,0,0,0
788,0,0,0,0,0,1,0,0,0,0,0,1,0,0
789,0,0,0,0,0,2,0,0,0,0,0,0,0,0
794,0,0,0,0,0,0,0,0,0,0,1,0,0,0
795,0,0,0,0,0,0,0,0,0,0,0,1,0,0
796,0,0,0,0,0,1,0,0,0,0,0,1,0,0
801,0,0,0,0,0,0,0,0,0,0,0,1,0,0
806,0,0,0,0,0,1,0,0,0,0,0,1,0,0
812,0,0,0,0,0,0,0,0,0,0,0,1,0,0
814,0,0,0,0,0,0,0,0,0,0,0,2,0,0
816,0,0,0,0,0,1,0,0,0,0,0,1,0,0
818,0,0,0,0,0,0,0,0,0,0,0,1,0,0
826,0,0,0,0,0,0,0,0,0,0,0,1,0,0
827,0,0,0,0,0,0,0,0,0,0,0,1,0,0
829,0,0,0,0,0,1,0,0,0,0,0,0,0,0
832,0,0,0,0,0,0,0,0,0,0,0,1,0,0
834,0,0,0,0,0,1,0,0,0,0,0,1,0,0
839,0,0,0,0,0,0,0,0,0,0,0,1,0,0
840,0,0,0,0,0,0,0,0,0,0,0,1,0,0
842,0,0,0,0,0,1,0,0,0,0,0,1,0,0
843,0,0,0,0,0,1,0,0,0,0,0,1,0,0
846,0,0,0,0,0,1,0,0,0,0,0,0,0,0
847,0,0,0,0,0,1,0,0,0,0,0,0,0,0
848,0,0,0,0,0,0,0,0,0,0,0,1,0,0
850,0,0,0,0,0,1,0,0,0,0,0,0,0,0
851,0,0,0,0,0,0,0,0,0,0,0,1,0,0
854,0,0,0,0,0,0,0,0,0,0,0,1,0,0
859,0,0,0,0,0,0,0,0,0,0,0,1,0,0
860,0,0,0,0,0,1,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0,0,1,0,0
864,0,0,0,0,0,0,0,0,0,0,0,1,0,0
866,0,0,0,0,0,0,0,0,0,0,0,2,0,0
869,0,0,0,0,0,0,0,0,0,0,0,1,0,0
870,0,0,0,0,0,2,0,0,0,0,0,0,0,0
